contrato;obra;sequencia_do_trecho;rodovia;descricao_rodovia;descricao_trecho;km_inicial;km_final
DM-22.005/2020-C;Obra 1;9;AMG900;ACESSO;ENTR MGC497 - ALEXANDRITA;0,0;0,7
DM-22.005/2020-C;Obra 1;10;CMG154;DIV GO/MG-ITUIUTABA-CRUCILANDIA-CAMPINA VERDE-ITAPAGIPE-DIV MG/SP;;0,0;23,3
DM-22.005/2020-C;Obra 1;11;CMG154;DIV GO/MG-ITUIUTABA-CRUCILANDIA-CAMPINA VERDE-ITAPAGIPE-DIV MG/SP;;24,6;113,0
DM-22.005/2020-D;Obra 1;1;MG426 ;ITURAMA-CACHOEIRA DE ÁGUA VERMELHA-DIV MG/SP;;0,0;17,5
DM-22.005/2020-D;Obra 1;2;MG461 ;ENTR BR365 - GURINHATÃ - ENTR BR364;;0,0;44,3
DM-22.005/2020-D;Obra 1;3;CMG497;UBERLÂNDIA-CAMPINA VERDE-ITURAMA-PORTO ALENCASTRO-DIV MG/MS;;77,6;331,1
DM-22.005/2020-D;Obra 1;4;MG226 ;DIV GO/MG (PORTO GOUVEIA)-IPIAÇU-CAPINÓPOLIS-CANÁPOLIS-BR153;;0,0;93,0
DM-22.005/2020-D;Obra 1;5;LMG864;ENTR MGC497-ENTR LMG865 P/LIMEIRA DO OESTE-UNIÃO DE MINAS;;0,0;21,6
DM-22.005/2020-D;Obra 1;6;LMG865;ENTR LMG864 P/UNIÃO DE MINAS-USINA CORURIPE-ENTR MGC497;;0,0;66,0
DM-22.005/2020-D;Obra 1;7;AMG900;ACESSO;ENTR BR365 - SANTA VITÓRIA;0,0;2,5
DM-22.005/2020-D;Obra 1;8;AMG900;ACESSO;ENTR MGC497 - CARNEIRINHO;0,0;2,0
DM-22.005/2020-D;Obra 1;9;AMG900;ACESSO;ENTR MGC497 - ALEXANDRITA;0,0;0,7
DM-22.005/2020-D;Obra 1;10;CMG154;DIV GO/MG-ITUIUTABA-CRUCILANDIA-CAMPINA VERDE-ITAPAGIPE-DIV MG/SP;;0,0;23,3
DM-22.005/2020-D;Obra 1;11;CMG154;DIV GO/MG-ITUIUTABA-CRUCILANDIA-CAMPINA VERDE-ITAPAGIPE-DIV MG/SP;;24,6;113,0
DM-22.006/2019-A;Obra 1;2;MG413 ;DIV MG/GO-PIRACAÍBA-MG223;;0,0;34,0
DM-22.006/2019-A;Obra 1;3;MG414 ;ENGENHEIRO BETHOUT-ARAGUARI;;6,5;42,9
DM-22.006/2019-A;Obra 1;4;CMG452;DIV GO/MG-TUPACIGUARA-UBERLÂNDIA-SANTA JULIANA-PERDIZES-ARAXÁ;;2,6;207,4
DM-22.006/2019-A;Obra 1;5;CMG455;UBERLÂNDIA-CAMPO FLORIDO-PIRAJUBA-DIV MG/SP (PLANURA);;0,0;54,6
DM-22.006/2019-A;Obra 1;6;LMG734;(DIV MG/GO-ENTR MG223 (P/TUPACIGUARA);;0,0;31,2
DM-22.006/2019-A;Obra 1;7;CMG497;UBERLÂNDIA-CAMPINA VERDE-ITURAMA-PORTO ALENCASTRO-DIV MG/MS;;0,0;77,6
DM-22.006/2019-A;Obra 1;8;LMG748;ENTR BR050 (ARAGUARI)-ENTR BR365;;0,0;35,0
DM-22.006/2019-A;Obra 1;9;LMG749;ENTR BR050 P/ARAGUARI-ENTR BR497;;0,0;11,5
DM-22.006/2019-A;Obra 1;10;LMG751;ENTR LMG749-ENTR P/CHÁCARA VALPARAÍSO-ENTR P/COLÉGIO AGRÍCOLA-ENTR AMG1120 P/CRUZ DOS PEIXOTOS-MARTINÉSIA;;2,2;21,45
DM-22.006/2019-A;Obra 1;11;MG223 ;TUPACIGUARA-PIRACAÍBA-ARAGUARI-BR365;;108,7;170,9
DM-22.006/2019-A;Obra 1;12;LMG503;ENTR BR050-ENTR BR497 ;;0,0;19,1
DM-22.006/2019-A;Obra 1;13;AMG900;ACESSO;ENTR BR365 - INDIANÓPOLIS;0,0;16,1
DM-22.006/2019-A;Obra 1;14;AMG900;ACESSO;ENTR BR452 - COALBRA;0,0;8,5
DM-22.006/2019-A;Obra 1;15;AMG900;ACESSO;ENTR LMG751 - CRUZEIRO DOS PEIXOTOS;0,0;1,5
DM-22.006/2019-B;Obra 1;2;MG413 ;DIV MG/GO-PIRACAÍBA-MG223;;0,0;34,0
DM-22.006/2019-B;Obra 1;3;MG414 ;ENGENHEIRO BETHOUT-ARAGUARI;;6,5;42,9
DM-22.006/2019-B;Obra 1;4;CMG452;DIV GO/MG-TUPACIGUARA-UBERLÂNDIA-SANTA JULIANA-PERDIZES-ARAXÁ;;2,6;207,4
DM-22.006/2019-B;Obra 1;5;CMG455;UBERLÂNDIA-CAMPO FLORIDO-PIRAJUBA-DIV MG/SP (PLANURA);;0,0;54,6
DM-22.006/2019-B;Obra 1;6;LMG734;(DIV MG/GO-ENTR MG223 (P/TUPACIGUARA);;0,0;31,2
DM-22.006/2019-B;Obra 1;7;CMG497;UBERLÂNDIA-CAMPINA VERDE-ITURAMA-PORTO ALENCASTRO-DIV MG/MS;;0,0;77,6
DM-22.006/2019-B;Obra 1;8;LMG748;ENTR BR050 (ARAGUARI)-ENTR BR365;;0,0;35,0
DM-22.006/2019-B;Obra 1;9;LMG749;ENTR BR050 P/ARAGUARI-ENTR BR497;;0,0;11,5
DM-22.006/2019-B;Obra 1;10;LMG751;ENTR LMG749-ENTR P/CHÁCARA VALPARAÍSO-ENTR P/COLÉGIO AGRÍCOLA-ENTR AMG1120 P/CRUZ DOS PEIXOTOS-MARTINÉSIA;;2,2;21,45
DM-22.006/2019-B;Obra 1;11;MG223 ;TUPACIGUARA-PIRACAÍBA-ARAGUARI-BR365;;108,7;170,9
DM-22.006/2019-B;Obra 1;12;LMG503;ENTR BR050-ENTR BR497 ;;0,0;19,1
DM-22.006/2019-B;Obra 1;13;AMG900;ACESSO;ENTR BR365 - INDIANÓPOLIS;0,0;16,1
DM-22.006/2019-B;Obra 1;14;AMG900;ACESSO;ENTR BR452 - COALBRA;0,0;8,5
DM-22.006/2019-B;Obra 1;15;AMG900;ACESSO;ENTR LMG751 - CRUZEIRO DOS PEIXOTOS;0,0;1,5
DM-22.006/2019-C;Obra 1;2;MG413 ;DIV MG/GO-PIRACAÍBA-MG223;;0,0;34,0
DM-22.006/2019-C;Obra 1;3;MG414 ;ENGENHEIRO BETHOUT-ARAGUARI;;6,5;42,9
DM-22.006/2019-C;Obra 1;4;CMG452;DIV GO/MG-TUPACIGUARA-UBERLÂNDIA-SANTA JULIANA-PERDIZES-ARAXÁ;;2,6;207,4
DM-22.006/2019-C;Obra 1;5;CMG455;UBERLÂNDIA-CAMPO FLORIDO-PIRAJUBA-DIV MG/SP (PLANURA);;0,0;54,6
DM-22.006/2019-C;Obra 1;6;LMG734;(DIV MG/GO-ENTR MG223 (P/TUPACIGUARA);;0,0;31,2
DM-22.006/2019-C;Obra 1;7;CMG497;UBERLÂNDIA-CAMPINA VERDE-ITURAMA-PORTO ALENCASTRO-DIV MG/MS;;0,0;77,6
DM-22.006/2019-C;Obra 1;8;LMG748;ENTR BR050 (ARAGUARI)-ENTR BR365;;0,0;35,0
DM-22.006/2019-C;Obra 1;9;LMG749;ENTR BR050 P/ARAGUARI-ENTR BR497;;0,0;11,5
DM-22.006/2019-C;Obra 1;10;LMG751;ENTR LMG749-ENTR P/CHÁCARA VALPARAÍSO-ENTR P/COLÉGIO AGRÍCOLA-ENTR AMG1120 P/CRUZ DOS PEIXOTOS-MARTINÉSIA;;2,2;21,45
DM-22.006/2019-C;Obra 1;11;MG223 ;TUPACIGUARA-PIRACAÍBA-ARAGUARI-BR365;;108,7;170,9
DM-22.006/2019-C;Obra 1;12;LMG503;ENTR BR050-ENTR BR497 ;;0,0;19,1
DM-22.006/2019-C;Obra 1;13;AMG900;ACESSO;ENTR BR365 - INDIANÓPOLIS;0,0;16,1
DM-22.006/2019-C;Obra 1;14;AMG900;ACESSO;ENTR BR452 - COALBRA;0,0;8,5
DM-22.006/2019-C;Obra 1;15;AMG900;ACESSO;ENTR LMG751 - CRUZEIRO DOS PEIXOTOS;0,0;1,5
DM-22.006/2019-D;Obra 1;2;MG413 ;DIV MG/GO-PIRACAÍBA-MG223;;0,0;34,0
DM-22.006/2019-D;Obra 1;3;MG414 ;ENGENHEIRO BETHOUT-ARAGUARI;;6,5;42,9
DM-22.006/2019-D;Obra 1;4;CMG452;DIV GO/MG-TUPACIGUARA-UBERLÂNDIA-SANTA JULIANA-PERDIZES-ARAXÁ;;2,6;207,4
DM-22.006/2019-D;Obra 1;5;CMG455;UBERLÂNDIA-CAMPO FLORIDO-PIRAJUBA-DIV MG/SP (PLANURA);;0,0;54,6
DM-22.006/2019-D;Obra 1;6;LMG734;(DIV MG/GO-ENTR MG223 (P/TUPACIGUARA);;0,0;31,2
DM-22.006/2019-D;Obra 1;7;CMG497;UBERLÂNDIA-CAMPINA VERDE-ITURAMA-PORTO ALENCASTRO-DIV MG/MS;;0,0;77,6
DM-22.006/2019-D;Obra 1;8;LMG748;ENTR BR050 (ARAGUARI)-ENTR BR365;;0,0;35,0
DM-22.006/2019-D;Obra 1;9;LMG749;ENTR BR050 P/ARAGUARI-ENTR BR497;;0,0;11,5
DM-22.006/2019-D;Obra 1;10;LMG751;ENTR LMG749-ENTR P/CHÁCARA VALPARAÍSO-ENTR P/COLÉGIO AGRÍCOLA-ENTR AMG1120 P/CRUZ DOS PEIXOTOS-MARTINÉSIA;;2,2;21,45
DM-22.006/2019-D;Obra 1;11;MG223 ;TUPACIGUARA-PIRACAÍBA-ARAGUARI-BR365;;108,7;170,9
DM-22.006/2019-D;Obra 1;12;LMG503;ENTR BR050-ENTR BR497 ;;0,0;19,1
DM-22.006/2019-D;Obra 1;13;AMG900;ACESSO;ENTR BR365 - INDIANÓPOLIS;0,0;16,1
DM-22.006/2019-D;Obra 1;14;AMG900;ACESSO;ENTR BR452 - COALBRA;0,0;8,5
DM-22.006/2019-D;Obra 1;15;AMG900;ACESSO;ENTR LMG751 - CRUZEIRO DOS PEIXOTOS;0,0;1,5
DM-22.006/2020;Obra 1;1;MG441 ;LAJINHA-DIV MG/ES;;1,8;8,2
DM-22.006/2020;Obra 1;2;CMG482;DIV ES/MG-ESPERA FELIZÍ-CARANGOLA-ARAPONGA-VIÇOSA-PIRANGA-ITAVERAVA-CONSELHEIRO LAFAIETE;;0,0;9,4
DM-22.006/2020;Obra 1;3;CMG482;DIV ES/MG-ESPERA FELIZÍ-CARANGOLA-ARAPONGA-VIÇOSA-PIRANGA-ITAVERAVA-CONSELHEIRO LAFAIETE;;19,6;62,4
DM-22.006/2020;Obra 1;4;MG108 ;BR458-POCRANE-MUTUM-LAJINHA-MANHUMIRIM;;103,4;116,4
DM-22.006/2020;Obra 1;5;MG108 ;BR458-POCRANE-MUTUM-LAJINHA-MANHUMIRIM;;144,3;251,6
DM-22.006/2020;Obra 1;6;MG108 ;BR458-POCRANE-MUTUM-LAJINHA-MANHUMIRIM;;256,7;272,4
DM-22.006/2020;Obra 1;7;MG111 ;IPANEMA-MANHUMIRIM-CARANGOLA-TOMBOS-DIV MG/RJ;;0,8;80,3
DM-22.006/2020;Obra 1;8;MG111 ;IPANEMA-MANHUMIRIM-CARANGOLA-TOMBOS-DIV MG/RJ;;90,0;141,1
DM-22.006/2020;Obra 1;9;MG111 ;IPANEMA-MANHUMIRIM-CARANGOLA-TOMBOS-DIV MG/RJ;;158,8;185,1
DM-22.006/2020;Obra 1;10;MG265 ;MG239-JEQUERI-SERICITA-BR116-DIVINO-CARANGOLA;;0,0;26,3
DM-22.006/2020;Obra 1;11;LMG822;CHALÉ-LAJINHA;;0,3;14,8
DM-22.006/2020;Obra 1;12;LMG615;ANTONIO PRADO DE MINAS-EUGENÓPOLIS-PATROCÍNIO DO MURIAÉ-BARÃO DO MONTE ALTO;;0,0;58,4
DM-22.006/2020;Obra 1;13;LMG834;ESPERA FELIZ-CAIANA-CARANGOLA;;0,9;22,3
DM-22.006/2020;Obra 1;14;LMG838;ENTR BR262-LUISBURGO;;0,0;23,4
DM-22.006/2020;Obra 1;15;LMG852;ENTR BR262-SANTA MARGARIDA-ENTR BR116;;0,0;9,5
DM-22.006/2020;Obra 1;16;AMG900;ACESSO;ENTR MG111  - CONCEIÇÃO DE IPANEMA;0,0;8,8
DM-22.006/2020;Obra 1;17;AMG900;ACESSO;ENTR BR116 (MIRADOURO)  - INÍCIO PERÍMETRO URBANO DE VIEIRAS;0,0;12,28
DM-22.006/2020;Obra 1;18;AMG900;ACESSO;ENTR MG111 - SIMONÉSIA;0,0;4,5
DM-22.006/2020;Obra 1;19;AMG900;ACESSO;ENTR BR482 - PARQUE NAC S. CAPARAÓ;0,0;25,4
DM-22.006/2020;Obra 1;20;AMG900;ACESSO;ENTR MG111 - MANHUMIRIM;0,0;1,8
DM-22.006/2020;Obra 1;21;AMG900;ACESSO;ENTR BR116 - SÃO FRANCISCO DO GLÓRIA;0,0;4,5
DM-22.006/2020;Obra 1;22;AMG900;ACESSO;ENTR MG111 - FARIA LEMOS;0,0;3,3
DM-22.006/2020;Obra 1;23;AMG900;ACESSO;ENTR BR116 - CAPUTIRA;0,0;11,8
DM-22.006/2020;Obra 1;24;AMG900;ACESSO;ENTR MG111 - TOMBOS A;0,0;1,6
DM-22.006/2020;Obra 1;25;AMG900;ACESSO;ENTR MG111 - PEDRA DOURADA;0,0;12,9
DM-22.006/2020;Obra 1;26;AMG900;ACESSO;ENTR MG111 (ALTO JEQUITIBÁ)  - INÍCIO PERÍMETRO URBANO DE ALTO CAPARAÓ;0,0;11,0
DM-22.006/2020;Obra 1;27;AMG900;ACESSO;ENTR BR262 - MATIPÓ;0,0;3,4
DM-22.006/2020;Obra 1;28;AMG900;ACESSO;ENTR MG265 - DIVINO;0,0;1,9
DM-22.006/2020;Obra 1;29;AMG900;ACESSO;ENTR BR116  - ORIZÂNIA;0,0;1,6
DM-22.006/2020;Obra 1;30;AMG900;ACESSO;ENTR BR482  - INÍCIO PERÍMETRO URBANO PONTE ALTA;0,0;2,51
DM-22.006/2020;Obra 1;31;AMG900;ACESSO;ENTR BR116 - ITAMURI;0,0;3,5
DM-22.006/2020;Obra 1;32;AMG900;ACESSO;ENTR MG111  - CAPARAÓ;0,0;9,0
DM-22.006/2020;Obra 1;33;AMG900;ACESSO;ENTR BR474  - TAPARUBA;0,0;4,8
DM-22.006/2020;Obra 1;34;AMG900;ACESSO;ENTR MG111 - SÃO JOSÉ DO MANTIMENTO;0,0;7,0
DM-22.006/2020-A;Obra 1;1;MG441 ;LAJINHA-DIV MG/ES;;1,8;8,2
DM-22.006/2020-A;Obra 1;2;CMG482;DIV ES/MG-ESPERA FELIZÍ-CARANGOLA-ARAPONGA-VIÇOSA-PIRANGA-ITAVERAVA-CONSELHEIRO LAFAIETE;;0,0;9,4
DM-22.006/2020-A;Obra 1;3;CMG482;DIV ES/MG-ESPERA FELIZÍ-CARANGOLA-ARAPONGA-VIÇOSA-PIRANGA-ITAVERAVA-CONSELHEIRO LAFAIETE;;19,6;62,4
DM-22.006/2020-A;Obra 1;4;MG108 ;BR458-POCRANE-MUTUM-LAJINHA-MANHUMIRIM;;103,4;116,4
DM-22.006/2020-A;Obra 1;5;MG108 ;BR458-POCRANE-MUTUM-LAJINHA-MANHUMIRIM;;144,3;251,6
DM-22.006/2020-A;Obra 1;6;MG108 ;BR458-POCRANE-MUTUM-LAJINHA-MANHUMIRIM;;256,7;272,4
DM-22.006/2020-A;Obra 1;7;MG111 ;IPANEMA-MANHUMIRIM-CARANGOLA-TOMBOS-DIV MG/RJ;;0,8;80,3
DM-22.006/2020-A;Obra 1;8;MG111 ;IPANEMA-MANHUMIRIM-CARANGOLA-TOMBOS-DIV MG/RJ;;90,0;141,1
DM-22.006/2020-A;Obra 1;9;MG111 ;IPANEMA-MANHUMIRIM-CARANGOLA-TOMBOS-DIV MG/RJ;;158,8;185,1
DM-22.006/2020-A;Obra 1;10;MG265 ;MG239-JEQUERI-SERICITA-BR116-DIVINO-CARANGOLA;;0,0;26,3
DM-22.006/2020-A;Obra 1;11;LMG822;CHALÉ-LAJINHA;;0,3;14,8
DM-22.006/2020-A;Obra 1;12;LMG615;ANTONIO PRADO DE MINAS-EUGENÓPOLIS-PATROCÍNIO DO MURIAÉ-BARÃO DO MONTE ALTO;;0,0;58,4
DM-22.006/2020-A;Obra 1;13;LMG834;ESPERA FELIZ-CAIANA-CARANGOLA;;0,9;22,3
DM-22.006/2020-A;Obra 1;14;LMG838;ENTR BR262-LUISBURGO;;0,0;23,4
DM-22.006/2020-A;Obra 1;15;LMG852;ENTR BR262-SANTA MARGARIDA-ENTR BR116;;0,0;9,5
DM-22.006/2020-A;Obra 1;16;AMG900;ACESSO;ENTR MG111  - CONCEIÇÃO DE IPANEMA;0,0;8,8
DM-22.006/2020-A;Obra 1;17;AMG900;ACESSO;ENTR BR116 (MIRADOURO)  - INÍCIO PERÍMETRO URBANO DE VIEIRAS;0,0;12,28
DM-22.006/2020-A;Obra 1;18;AMG900;ACESSO;ENTR MG111 - SIMONÉSIA;0,0;4,5
DM-22.006/2020-A;Obra 1;19;AMG900;ACESSO;ENTR BR482 - PARQUE NAC S. CAPARAÓ;0,0;25,4
DM-22.006/2020-A;Obra 1;20;AMG900;ACESSO;ENTR MG111 - MANHUMIRIM;0,0;1,8
DM-22.006/2020-A;Obra 1;21;AMG900;ACESSO;ENTR BR116 - SÃO FRANCISCO DO GLÓRIA;0,0;4,5
DM-22.006/2020-A;Obra 1;22;AMG900;ACESSO;ENTR MG111 - FARIA LEMOS;0,0;3,3
DM-22.006/2020-A;Obra 1;23;AMG900;ACESSO;ENTR BR116 - CAPUTIRA;0,0;11,8
DM-22.006/2020-A;Obra 1;24;AMG900;ACESSO;ENTR MG111 - TOMBOS A;0,0;1,6
DM-22.006/2020-A;Obra 1;25;AMG900;ACESSO;ENTR MG111 - PEDRA DOURADA;0,0;12,9
DM-22.006/2020-A;Obra 1;26;AMG900;ACESSO;ENTR MG111 (ALTO JEQUITIBÁ)  - INÍCIO PERÍMETRO URBANO DE ALTO CAPARAÓ;0,0;11,0
DM-22.006/2020-A;Obra 1;27;AMG900;ACESSO;ENTR BR262 - MATIPÓ;0,0;3,4
DM-22.006/2020-A;Obra 1;28;AMG900;ACESSO;ENTR MG265 - DIVINO;0,0;1,9
DM-22.006/2020-A;Obra 1;29;AMG900;ACESSO;ENTR BR116  - ORIZÂNIA;0,0;1,6
DM-22.006/2020-A;Obra 1;30;AMG900;ACESSO;ENTR BR482  - INÍCIO PERÍMETRO URBANO PONTE ALTA;0,0;2,51
DM-22.006/2020-A;Obra 1;31;AMG900;ACESSO;ENTR BR116 - ITAMURI;0,0;3,5
DM-22.006/2020-A;Obra 1;32;AMG900;ACESSO;ENTR MG111  - CAPARAÓ;0,0;9,0
DM-22.006/2020-A;Obra 1;33;AMG900;ACESSO;ENTR BR474  - TAPARUBA;0,0;4,8
DM-22.006/2020-A;Obra 1;34;AMG900;ACESSO;ENTR MG111 - SÃO JOSÉ DO MANTIMENTO;0,0;7,0
DM-22.007/2020;Obra 1;1;MG404 ;TAIOBEIRAS-SALINAS;;0,0;45,6
DM-22.007/2020;Obra 1;2;LMG602;TAIOBEIRAS-SÃO JOÃO DO PARAÍSO;;0,0;70,3
DM-22.007/2020;Obra 1;3;LMG623;ENTR LMG602- (S. JOÃO DO PARAÍSO) / NINHEIRA;;0,0;27,3
DM-22.007/2020;Obra 1;4;LMG624;ENTR LMG635 (P/S. A. DO RETIRO)-VARGEM GRANDE DO RIO PARDO-INDAIABIRA-ENTR LMG602;;0,0;57,7
DM-22.007/2020;Obra 1;5;LMG625;ENTR LMG626 (MIRANDÓPOLIS) - BERIZAL;;0,0;40,8
DM-22.007/2020;Obra 1;6;LMG626;ENTR BR251 (BR116)-CURRAL DE DENTRO-TAIOBEIRAS-FRUTA DE LEITE-ENTR BR251 (MONTES CLAROS);;0,0;126,2
DM-22.007/2020;Obra 1;7;LMG627;ENTR BR251/ JOSENÓPOLIS;;0,0;42,5
DM-22.007/2020;Obra 1;8;LMG629;TAIOBEIRAS-RIO PARDO DE MINAS;;0,0;41,7
DM-22.007/2020;Obra 1;9;LMG635;GAMELEIRAS-CATUTI-MATO VERDE-S.A. DO RETIRO-MONTEZUMA;;91,7;123,2
DM-22.007/2020;Obra 1;10;AMG900;ACESSO;ENTR BR251  - SANTA CRUZ DE SALINAS (KM 11,5);0,0;11,9
DM-22.007/2020;Obra 1;11;AMG900;ACESSO;ENTR MG404 - ENTR BR342(B) NOVORIZONTE;0,0;19,6
DM-22.007/2020;Obra 1;12;CMG342;ESPINOSA-SALINAS-ARAÇUAÍ-TEÓFILO OTÔNI-ATALEIA-DIV MG/ES;;295,0;360,0
DM-22.007/2020-A;Obra 1;1;MG404 ;TAIOBEIRAS-SALINAS;;0,0;45,6
DM-22.007/2020-A;Obra 1;2;LMG602;TAIOBEIRAS-SÃO JOÃO DO PARAÍSO;;0,0;70,3
DM-22.007/2020-A;Obra 1;3;LMG623;ENTR LMG602- (S. JOÃO DO PARAÍSO) / NINHEIRA;;0,0;27,3
DM-22.007/2020-A;Obra 1;4;LMG624;ENTR LMG635 (P/S. A. DO RETIRO)-VARGEM GRANDE DO RIO PARDO-INDAIABIRA-ENTR LMG602;;0,0;57,7
DM-22.007/2020-A;Obra 1;5;LMG625;ENTR LMG626 (MIRANDÓPOLIS) - BERIZAL;;0,0;40,8
DM-22.007/2020-A;Obra 1;6;LMG626;ENTR BR251 (BR116)-CURRAL DE DENTRO-TAIOBEIRAS-FRUTA DE LEITE-ENTR BR251 (MONTES CLAROS);;0,0;126,2
DM-22.007/2020-A;Obra 1;7;LMG627;ENTR BR251/ JOSENÓPOLIS;;0,0;42,5
DM-22.007/2020-A;Obra 1;8;LMG629;TAIOBEIRAS-RIO PARDO DE MINAS;;0,0;41,7
DM-22.007/2020-A;Obra 1;9;LMG635;GAMELEIRAS-CATUTI-MATO VERDE-S.A. DO RETIRO-MONTEZUMA;;91,7;123,2
DM-22.007/2020-A;Obra 1;10;AMG900;ACESSO;ENTR BR251  - SANTA CRUZ DE SALINAS (KM 11,5);0,0;11,9
DM-22.007/2020-A;Obra 1;11;AMG900;ACESSO;ENTR MG404 - ENTR BR342(B) NOVORIZONTE;0,0;19,6
DM-22.007/2020-A;Obra 1;12;CMG342;ESPINOSA-SALINAS-ARAÇUAÍ-TEÓFILO OTÔNI-ATALEIA-DIV MG/ES;;295,0;360,0
DM-22.007/2020-B;Obra 1;1;MG404 ;TAIOBEIRAS-SALINAS;;0,0;45,6
DM-22.007/2020-B;Obra 1;2;LMG602;TAIOBEIRAS-SÃO JOÃO DO PARAÍSO;;0,0;70,3
DM-22.007/2020-B;Obra 1;3;LMG623;ENTR LMG602- (S. JOÃO DO PARAÍSO) / NINHEIRA;;0,0;27,3
DM-22.007/2020-B;Obra 1;4;LMG624;ENTR LMG635 (P/S. A. DO RETIRO)-VARGEM GRANDE DO RIO PARDO-INDAIABIRA-ENTR LMG602;;0,0;57,7
DM-22.007/2020-B;Obra 1;5;LMG625;ENTR LMG626 (MIRANDÓPOLIS) - BERIZAL;;0,0;40,8
DM-22.007/2020-B;Obra 1;6;LMG626;ENTR BR251 (BR116)-CURRAL DE DENTRO-TAIOBEIRAS-FRUTA DE LEITE-ENTR BR251 (MONTES CLAROS);;0,0;126,2
DM-22.007/2020-B;Obra 1;7;LMG627;ENTR BR251/ JOSENÓPOLIS;;0,0;42,5
DM-22.007/2020-B;Obra 1;8;LMG629;TAIOBEIRAS-RIO PARDO DE MINAS;;0,0;41,7
DM-22.007/2020-B;Obra 1;9;LMG635;GAMELEIRAS-CATUTI-MATO VERDE-S.A. DO RETIRO-MONTEZUMA;;91,7;123,2
DM-22.007/2020-B;Obra 1;10;AMG900;ACESSO;ENTR BR251  - SANTA CRUZ DE SALINAS (KM 11,5);0,0;11,9
DM-22.007/2020-B;Obra 1;11;AMG900;ACESSO;ENTR MG404 - ENTR BR342(B) NOVORIZONTE;0,0;19,6
DM-22.007/2020-B;Obra 1;12;CMG342;ESPINOSA-SALINAS-ARAÇUAÍ-TEÓFILO OTÔNI-ATALEIA-DIV MG/ES;;295,0;360,0
DM-22.007/2020-C;Obra 1;1;MG404 ;TAIOBEIRAS-SALINAS;;0,0;45,6
DM-22.007/2020-C;Obra 1;2;LMG602;TAIOBEIRAS-SÃO JOÃO DO PARAÍSO;;0,0;70,3
DM-22.007/2020-C;Obra 1;3;LMG623;ENTR LMG602- (S. JOÃO DO PARAÍSO) / NINHEIRA;;0,0;27,3
DM-22.007/2020-C;Obra 1;4;LMG624;ENTR LMG635 (P/S. A. DO RETIRO)-VARGEM GRANDE DO RIO PARDO-INDAIABIRA-ENTR LMG602;;0,0;57,7
DM-22.007/2020-C;Obra 1;5;LMG625;ENTR LMG626 (MIRANDÓPOLIS) - BERIZAL;;0,0;40,8
DM-22.007/2020-C;Obra 1;6;LMG626;ENTR BR251 (BR116)-CURRAL DE DENTRO-TAIOBEIRAS-FRUTA DE LEITE-ENTR BR251 (MONTES CLAROS);;0,0;126,2
DM-22.007/2020-C;Obra 1;7;LMG627;ENTR BR251/ JOSENÓPOLIS;;0,0;42,5
DM-22.007/2020-C;Obra 1;8;LMG629;TAIOBEIRAS-RIO PARDO DE MINAS;;0,0;41,7
DM-22.007/2020-C;Obra 1;9;LMG635;GAMELEIRAS-CATUTI-MATO VERDE-S.A. DO RETIRO-MONTEZUMA;;91,7;123,2
DM-22.007/2020-C;Obra 1;10;AMG900;ACESSO;ENTR BR251  - SANTA CRUZ DE SALINAS (KM 11,5);0,0;11,9
DM-22.007/2020-C;Obra 1;11;AMG900;ACESSO;ENTR MG404 - ENTR BR342(B) NOVORIZONTE;0,0;19,6
DM-22.007/2020-C;Obra 1;12;CMG342;ESPINOSA-SALINAS-ARAÇUAÍ-TEÓFILO OTÔNI-ATALEIA-DIV MG/ES;;295,0;360,0
DM-22.007/2020-D;Obra 1;1;MG404 ;TAIOBEIRAS-SALINAS;;0,0;45,6
DM-22.007/2020-D;Obra 1;2;LMG602;TAIOBEIRAS-SÃO JOÃO DO PARAÍSO;;0,0;70,3
DM-22.007/2020-D;Obra 1;3;LMG623;ENTR LMG602- (S. JOÃO DO PARAÍSO) / NINHEIRA;;0,0;27,3
DM-22.007/2020-D;Obra 1;4;LMG624;ENTR LMG635 (P/S. A. DO RETIRO)-VARGEM GRANDE DO RIO PARDO-INDAIABIRA-ENTR LMG602;;0,0;57,7
DM-22.007/2020-D;Obra 1;5;LMG625;ENTR LMG626 (MIRANDÓPOLIS) - BERIZAL;;0,0;40,8
DM-22.007/2020-D;Obra 1;6;LMG626;ENTR BR251 (BR116)-CURRAL DE DENTRO-TAIOBEIRAS-FRUTA DE LEITE-ENTR BR251 (MONTES CLAROS);;0,0;126,2
DM-22.007/2020-D;Obra 1;7;LMG627;ENTR BR251/ JOSENÓPOLIS;;0,0;42,5
DM-22.007/2020-D;Obra 1;8;LMG629;TAIOBEIRAS-RIO PARDO DE MINAS;;0,0;41,7
DM-22.007/2020-D;Obra 1;9;LMG635;GAMELEIRAS-CATUTI-MATO VERDE-S.A. DO RETIRO-MONTEZUMA;;91,7;123,2
DM-22.007/2020-D;Obra 1;10;AMG900;ACESSO;ENTR BR251  - SANTA CRUZ DE SALINAS (KM 11,5);0,0;11,9
DM-22.007/2020-D;Obra 1;11;AMG900;ACESSO;ENTR MG404 - ENTR BR342(B) NOVORIZONTE;0,0;19,6
DM-22.007/2020-D;Obra 1;12;CMG342;ESPINOSA-SALINAS-ARAÇUAÍ-TEÓFILO OTÔNI-ATALEIA-DIV MG/ES;;295,0;360,0
